Marker	chr	pos	uniqpos	chrom	Genome
A21803_2A_100	2A.2	249.316	1741.729	2A	A
A21580_2A_70	2A.2	249.97	1742.383	2A	A
A27582_2A_2B_70	2A.2	251.578	1743.991	2A	A
A27881_2A_100	2A.2	252.635	1745.048	2A	A
A15296_2A_100	2A.2	254.524	1746.937	2A	A
A29044_2A_100	2A.2	256.271	1748.684	2A	A
A28827_2A_70	2A.2	256.53	1748.943	2A	A
A14912_2A_70	2A.2	257.863	1750.276	2A	A
A15311_2A_70	2A.2	258.92	1751.333	2A	A
A15345_2A_100	2A.2	259.71	1752.123	2A	A
A21683_2A_100	2A.2	261.182	1753.595	2A	A
A9281_2A_2D_100	2A.2	263.212	1755.625	2A	A
A16471_2A_100	2A.2	264.96	1757.373	2A	A
A16115_2A_70	2A.2	265.748	1758.161	2A	A
A10474_2A_70	2A.2	267.079	1759.492	2A	A
A28634_2A_100	2A.2	269.395	1761.808	2A	A
A1953_2A_2D_100	2A.2	272.449	1764.862	2A	A
A2431_2B_70	2B.1	23.499	1838.361	2B	B
A2341_2B_100	2B.1	29.859	1844.721	2B	B
A9624_2B_2D_100	2B.1	44.55	1859.412	2B	B
A18811_2B_100	2B.1	49.647	1864.509	2B	B
A4252_2B_100	2B.1	53.152	1868.014	2B	B
A16980_unk_100	2B.1	54.899	1869.761	2B	B
A18623_4D_7B_100	2B.1	57.075	1871.937	2B	B
A14996_2B_100	2B.1	58.407	1873.269	2B	B
A28766_unk_100	2B.1	60.873	1875.735	2B	B
A28516_unk_70	2B.1	63.782	1878.644	2B	B
A4380_2B_70	2B.1	65.812	1880.674	2B	B
A16617_unk_70	2B.1	68.718	1883.58	2B	B
A14555_2B_70	2B.1	72.382	1887.244	2B	B
A25501_1A_2B_70	2B.1	80.489	1895.351	2B	B
A7444_2B_70	2B.1	84.935	1899.797	2B	B
A7806_2B_100	2B.1	87.545	1902.407	2B	B
A25934_2B_100	2B.1	89.719	1904.581	2B	B
A29058_2B_100	2B.1	92.036	1906.898	2B	B
A23954_2B_100	2B.1	94.789	1909.651	2B	B
A12523_2B_100	2B.1	99.565	1914.427	2B	B
A12164_2B_70	2B.1	103.384	1918.246	2B	B
A9189_unk_100	2B.1	121.139	1936.001	2B	B
A29135_2B_70	2B.1	154.513	1969.375	2B	B
A18282_unk_100	2B.1	169.467	1984.329	2B	B
A13025_2B_2D_70	2B.1	174.566	1989.428	2B	B
A13385_2B_2D_100	2B.1	176.173	1991.035	2B	B
A6521_2B_100	2B.1	180.773	1995.635	2B	B
A1202_2B_100	2B.1	189.235	2004.097	2B	B
A1303_2B_70	2B.1	195.9	2010.762	2B	B
A3443_2B_100	2B.1	200.674	2015.536	2B	B
A3522_2B_70	2B.1	202.284	2017.146	2B	B
A19197_2B_70	2B.1	204.46	2019.322	2B	B
A28980_2B_70	2B.1	208.741	2023.603	2B	B
A6118_unk_70	2B.1	210.073	2024.935	2B	B
A6488_unk_100	2B.1	212.396	2027.258	2B	B
A28983_2B_100	2B.1	215.904	2030.766	2B	B
A28760_2B_70	2B.1	218.376	2033.238	2B	B
A28761_unk_70	2B.1	219.164	2034.026	2B	B
A28347_2B_70	2B.1	220.773	2035.635	2B	B
A28626_2B_100	2B.1	223.688	2038.55	2B	B
A28984_unk_100	2B.1	225.579	2040.441	2B	B
A14121_2B_100	2B.1	228.785	2043.647	2B	B
A13716_2B_70	2B.1	231.399	2046.261	2B	B
A28376_2B_70	2B.1	233.434	2048.296	2B	B
A28651_2B_100	2B.1	235.041	2049.903	2B	B
A22151_2B_6B_70	2B.1	240.48	2055.342	2B	B
A22323_2B_100	2B.1	245.115	2059.977	2B	B
A185_2A_2D_100	2B.1	270.32	2085.182	2B	B
A19716_2D_100	2D.1	0	2135.182	2D	D
A19401_2D_70	2D.1	6.342	2141.524	2D	D
A3418_2D_70	2D.1	27.112	2162.294	2D	D
A3331_2D_100	2D.1	34.891	2170.073	2D	D
A11276_unk_100	2D.1	47.907	2183.089	2D	D
A581_2D_100	2D.1	92.292	2227.474	2D	D
A10048_2D_70	2D.1	107.618	2242.8	2D	D
A628_2D_70	2D.1	113.397	2248.579	2D	D
A14393_2D_100	2D.1	151.319	2286.501	2D	D
A14618_2D_100	2D.1	155.947	2291.129	2D	D
A9009_2D_100	2D.1	163.135	2298.317	2D	D
A20500_2D_100	2D.1	171.836	2307.018	2D	D
A9602_2D_70	2D.1	184.517	2319.699	2D	D
A10072_2D_100	2D.1	191.546	2326.728	2D	D
A180_2D_100	2D.1	198.925	2334.107	2D	D
A189_2B_2D_70	2D.1	204.552	2339.734	2D	D
A8255_2D_70	2D.1	212.822	2348.004	2D	D
A22184_2D_70	2D.1	223.714	2358.896	2D	D
A23249_unk_70	2D.1	230.179	2365.361	2D	D
A23637_unk_100	2D.1	237.426	2372.608	2D	D
A22_2D_100	2D.1	242.522	2377.704	2D	D
A6445_2D_4D_100	2D.1	247.122	2382.304	2D	D
A22358_2D_100	2D.1	250.023	2385.205	2D	D
A27031_2D_70	2D.1	271.189	2406.371	2D	D
A1523_2D_100	2D.1	290.55	2425.732	2D	D
A24022_2D_100	2D.1	295.314	2430.496	2D	D
A7190_2D_100	2D.1	309.683	2444.865	2D	D
A27618_2D_100	2D.1	318.94	2454.122	2D	D
A20651_2D_100	2D.1	324.537	2459.719	2D	D
A11186_2D_100	2D.1	325.73	2460.912	2D	D
A15498_2D_100	2D.1	328.337	2463.519	2D	D
A8291_2D_100	2D.1	332.943	2468.125	2D	D
A4718_2D_100	2D.1	336.604	2471.786	2D	D
A13198_2D_100	2D.1	337.528	2472.71	2D	D
A14470_2D_100	2D.1	338.859	2474.041	2D	D
A9467_2D_100	2D.1	340.467	2475.649	2D	D
A18206_2D_100	2D.1	342.783	2477.965	2D	D
A17857_2D_70	2D.1	351.266	2486.448	2D	D
A12850_2D_70	2D.1	356.852	2492.034	2D	D
A14066_2D_70	2D.1	360.054	2495.236	2D	D
A6662_2D_70	2D.1	363.256	2498.438	2D	D
A7126_2D_6D_70	2D.1	370.054	2505.236	2D	D
A20805_2B_2D_100	2D.1	404.467	2539.649	2D	D
A20513_2B_2D_70	2D.1	417.301	2552.483	2D	D
A22313_2D_70	2D.1	425.205	2560.387	2D	D
A13608_2D_100	2D.1	440.08	2575.262	2D	D
A13252_2D_70	2D.1	443.741	2578.923	2D	D
A19526_2D_70	2D.1	454.444	2589.626	2D	D
A2350_2D_70	2D.1	459.716	2594.898	2D	D
A17847_2D_70	2D.1	462.621	2597.803	2D	D
A20253_2D_70	2D.1	468.055	2603.237	2D	D
A20547_2D_100	2D.1	475.073	2610.255	2D	D
A16260_2D_100	2D.1	477.979	2613.161	2D	D
A18198_2D_100	2D.1	480.443	2615.625	2D	D
A2263_2D_100	2D.1	482.477	2617.659	2D	D
A28076_3A_100	3A.1	0	2667.659	3A	A
A18126_3A_100	3A.1	5.79	2673.449	3A	A
A20082_3A_100	3A.1	11.906	2679.565	3A	A
A19780_3A_70	3A.1	20.441	2688.1	3A	A
A27789_3A_70	3A.1	26.387	2694.046	3A	A
A22422_5A_7A_100	3A.1	36.306	2703.965	3A	A
A23227_3A_70	3A.1	49.824	2717.483	3A	A
A15808_3A_70	3A.1	52.729	2720.388	3A	A
A16155_3A_100	3A.1	57.669	2725.328	3A	A
A23617_3A_100	3A.1	60.422	2728.081	3A	A
A19360_unk_100	3A.1	63.783	2731.442	3A	A
A11675_3A_100	3A.1	71.863	2739.522	3A	A
A25297_3A_70	3A.1	87.716	2755.375	3A	A
A28965_3A_70	3A.1	93.482	2761.141	3A	A
A28840_3A_100	3A.1	105.707	2773.366	3A	A
A20943_3A_100	3A.1	113.059	2780.718	3A	A
A20655_3A_70	3A.1	118.663	2786.322	3A	A
A28588_3A_70	3A.1	123.918	2791.577	3A	A
A12595_3A_70	3A.1	130.912	2798.571	3A	A
A1990_3A_3B_70	3A.1	149.671	2817.33	3A	A
A1910_3A_100	3A.1	153.19	2820.849	3A	A
A10504_3A_100	3A.1	156.093	2823.752	3A	A
A28871_3A_100	3A.1	157.287	2824.946	3A	A
A18992_3D_100	3A.1	160.339	2827.998	3A	A
A28804_3A_100	3A.1	161.948	2829.607	3A	A
A28552_3A_70	3A.1	163.701	2831.36	3A	A
A13955_3A_3D_70	3A.1	164.76	2832.419	3A	A
A14369_3A_100	3A.1	166.095	2833.754	3A	A
A2410_unk_100	3A.1	168.424	2836.083	3A	A
A2511_unk_70	3A.1	170.321	2837.98	3A	A
A2214_3A_70	3A.1	173.103	2840.762	3A	A
A2130_3A_100	3A.1	173.362	2841.021	3A	A
A2194_3A_70	3A.1	174.831	2842.49	3A	A
A8288_unk_100	3A.1	177.147	2844.806	3A	A
A7927_unk_70	3A.1	177.935	2845.594	3A	A
A20085_3A_100	3A.1	181.754	2849.413	3A	A
A20086_unk_100	3A.1	183.784	2851.443	3A	A
A27853_3A_100	3A.1	185.958	2853.617	3A	A
A27551_3A_70	3A.1	186.747	2854.406	3A	A
A26203_3A_70	3A.1	188.079	2855.738	3A	A
A26565_3A_100	3A.1	189.003	2856.662	3A	A
A2156_3A_100	3A.1	191.786	2859.445	3A	A
A2242_3A_70	3A.1	192.71	2860.369	3A	A
A17522_unk_70	3A.1	195.464	2863.123	3A	A
A25091_unk_70	3A.1	197.636	2865.295	3A	A
A25547_unk_100	3A.1	198.027	2865.686	3A	A
A15546_unk_100	3A.1	199.922	2867.581	3A	A
A15111_unk_70	3A.1	200.982	2868.641	3A	A
A25131_3A_70	3A.1	206.908	2874.567	3A	A
A16357_3A_70	3A.1	209.666	2877.325	3A	A
A16716_3A_100	3A.1	211.418	2879.077	3A	A
A4390_3A_5A_100	3A.1	215.392	2883.051	3A	A
A7554_unk_70	3A.1	228.573	2896.232	3A	A
A1705_3A_70	3A.1	236.106	2903.765	3A	A
A1619_3A_100	3A.1	239.012	2906.671	3A	A
A1618_3A_100	3A.1	241.477	2909.136	3A	A
A14451_3A_100	3A.1	244.087	2911.746	3A	A
A14994_unk_100	3A.1	248.211	2915.87	3A	A
A2413_unk_100	3A.1	251.116	2918.775	3A	A
A1263_3A_100	3A.1	252.585	2920.244	3A	A
A1360_3A_70	3A.1	253.646	2921.305	3A	A
A2515_unk_70	3A.1	255.255	2922.914	3A	A
A2416_unk_100	3A.1	255.777	2923.436	3A	A
A20380_3A_100	3A.1	257.525	2925.184	3A	A
A7166_3A_70	3A.1	258.994	2926.653	3A	A
A7537_3A_100	3A.1	259.648	2927.307	3A	A
A844_unk_100	3A.1	260.979	2928.638	3A	A
A900_3A_70	3A.1	261.369	2929.028	3A	A
A151_unk_100	3A.1	264.271	2931.93	3A	A
A21131_3A_70	3A.1	266.301	2933.96	3A	A
A21411_3A_100	3A.1	267.223	2934.882	3A	A
A4762_3A_100	3A.1	268.972	2936.631	3A	A
A3852_3A_100	3A.1	271.873	2939.532	3A	A
A23268_3A_70	3A.1	277.136	2944.795	3A	A
A3956_3A_3B_70	3A.1	282.064	2949.723	3A	A
A17367_3A_3B_70	3A.1	287.168	2954.827	3A	A
A17755_3A_100	3A.1	289.638	2957.297	3A	A
A24655_3A_3B_100	3A.1	291.528	2959.187	3A	A
A25828_unk_100	3A.1	295.818	2963.477	3A	A
A22120_3A_100	3A.2	0	2988.477	3A	A
A26065_3A_70	3A.2	5.929	2994.406	3A	A
A15791_3A_100	3A.2	7.677	2996.154	3A	A
A15343_3A_70	3A.2	7.806	2996.283	3A	A
A4483_3A_70	3A.2	8.728	2997.205	3A	A
A4358_3A_100	3A.2	9.25	2997.727	3A	A
A1161_3A_70	3A.2	10.998	2999.475	3A	A
A1073_3A_100	3A.2	12.056	3000.533	3A	A
A18418_3A_70	3A.2	14.372	3002.849	3A	A
A18771_3A_100	3A.2	14.631	3003.108	3A	A
A2033_3A_70	3A.2	15.962	3004.439	3A	A
A1942_3A_100	3A.2	16.886	3005.363	3A	A
A19525_3A_100	3A.2	18.217	3006.694	3A	A
A1610_3A_100	3A.2	19.824	3008.301	3A	A
A10_3A_100	3A.2	21.573	3010.05	3A	A
A10_3A_70	3A.2	22.361	3010.838	3A	A
A14940_3A_100	3A.2	24.537	3013.014	3A	A
A14510_1D_3A_70	3A.2	25.732	3014.209	3A	A
A26538_unk_70	3A.2	28.49	3016.967	3A	A
A26834_unk_100	3A.2	29.959	3018.436	3A	A
A1605_3A_100	3A.2	32.132	3020.609	3A	A
A19023_3A_100	3A.2	33.6	3022.077	3A	A
A18682_3A_70	3A.2	34.934	3023.411	3A	A
A8905_unk_70	3A.2	36.964	3025.441	3A	A
A9379_unk_100	3A.2	37.223	3025.7	3A	A
A1604_3A_100	3A.2	38.146	3026.623	3A	A
A2840_3A_70	3A.2	43.734	3032.211	3A	A
A25573_3A_70	3A.2	45.625	3034.102	3A	A
A2819_unk_70	3A.2	49.283	3037.76	3A	A
A2779_unk_100	3A.2	52.338	3040.815	3A	A
A26004_unk_100	3A.2	55.541	3044.018	3A	A
A18303_3A_70	3A.2	59.207	3047.684	3A	A
A1924_3A_70	3A.2	60.814	3049.291	3A	A
A1850_3A_100	3A.2	61.074	3049.551	3A	A
A18659_3A_100	3A.2	62.268	3050.745	3A	A
A22201_3A_70	3A.2	64.015	3052.492	3A	A
A22372_3A_100	3A.2	64.537	3053.014	3A	A
A25875_2A_3A_100	3A.2	73.98	3062.457	3A	A
A18096_3A_100	3A.2	76.589	3065.066	3A	A
A17719_3A_70	3A.2	80.886	3069.363	3A	A
A25436_2A_3A_70	3A.2	89.003	3077.48	3A	A
A21574_3A_70	3A.3	0	3102.48	3A	A
A21565_unk_70	3A.3	5.421	3107.901	3A	A
A21797_3A_100	3A.3	14.077	3116.557	3A	A
A6672_3A_100	3A.3	20.522	3123.002	3A	A
A24334_unk_70	3A.3	32.996	3135.476	3A	A
A7547_3A_70	3A.4	12.439	3172.915	3A	A
A7922_3A_100	3A.4	14.187	3174.663	3A	A
A7923_unk_100	3A.4	16.363	3176.839	3A	A
A18994_3A_100	3A.4	17.693	3178.169	3A	A
A9258_3A_100	3A.4	18.217	3178.693	3A	A
A22086_3A_100	3A.4	19.139	3179.615	3A	A
A19210_3A_100	3A.4	20.747	3181.223	3A	A
A19403_3A_6D_100	3A.4	21.269	3181.745	3A	A
A15897_3A_100	3A.4	22.191	3182.667	3A	A
A1811_unk_100	3A.4	23.25	3183.726	3A	A
A10600_3A_100	3A.4	24.862	3185.338	3A	A
A10141_3A_70	3A.4	25.518	3185.994	3A	A
A13741_3A_100	3A.4	28.271	3188.747	3A	A
A7430_3A_100	3A.4	30.16	3190.636	3A	A
A27061_3A_100	3A.4	33.361	3193.837	3A	A
A26719_3A_70	3A.4	35.252	3195.728	3A	A
A557_3A_70	3A.4	36.446	3196.922	3A	A
A7548_unk_70	3A.4	38.194	3198.67	3A	A
A21922_unk_70	3A.4	39.941	3200.417	3A	A
A8799_3A_70	3A.4	41.689	3202.165	3A	A
A7673_3A_70	3A.4	42.477	3202.953	3A	A
A5177_3A_7A_70	3A.4	43.536	3204.012	3A	A
A15526_3A_70	3A.4	43.795	3204.271	3A	A
A1888_unk_70	3A.4	44.583	3205.059	3A	A
A17666_3A_70	3A.4	45.371	3205.847	3A	A
A21097_3A_100	3A.4	48.125	3208.601	3A	A
A20785_3A_70	3A.4	49.875	3210.351	3A	A
A29360_4A_70	3A.4	53.226	3213.702	3A	A
A29564_unk_100	3A.4	55.399	3215.875	3A	A
A9749_3A_70	3A.4	58.449	3218.925	3A	A
A13814_3A_70	3A.4	60.338	3220.814	3A	A
A7164_3A_70	3A.4	64	3224.476	3A	A
A7535_3A_100	3A.4	67.819	3228.295	3A	A
A14214_3A_100	3A.4	69.15	3229.626	3A	A
A9198_3A_100	3A.4	71.322	3231.798	3A	A
A12225_3A_100	3A.4	74.373	3234.849	3A	A
A17095_3A_3D_100	3A.4	75.567	3236.043	3A	A
A1142_3A_100	3A.4	77.455	3237.931	3A	A
A1232_3A_70	3A.4	78.512	3238.988	3A	A
A511_3A_70	3A.4	80.121	3240.597	3A	A
A6056_3A_70	3A.4	81.59	3242.066	3A	A
A10498_3A_70	3A.4	85.247	3245.723	3A	A
A20469_3A_70	3A.4	87.28	3247.756	3A	A
A20767_3A_100	3A.4	88.889	3249.365	3A	A
A10912_3A_100	3A.4	90.919	3251.395	3A	A
A10762_3A_100	3A.4	94.27	3254.746	3A	A
A18327_3A_70	3A.4	98.721	3259.197	3A	A
A16509_3A_4A_70	3A.4	102.072	3262.548	3A	A
A16868_3A_100	3A.4	105.428	3265.904	3A	A
A4598_3A_100	3A.4	106.35	3266.826	3A	A
A18678_3A_100	3A.4	107.82	3268.296	3A	A
A12216_3A_100	3A.4	109.151	3269.627	3A	A
A11488_unk_70	3A.4	118	3278.476	3A	A
A8151_unk_70	3B.1	0	3328.476	3B	B
A7027_3B_70	3B.1	16.145	3344.621	3B	B
A21666_3D_70	3B.1	18.609	3347.085	3B	B
A21880_3D_100	3B.1	20.501	3348.977	3B	B
A15568_2D_3B_100	3B.1	23.56	3352.036	3B	B
A15569_unk_100	3B.1	25.452	3353.928	3B	B
A10736_3B_100	3B.1	26.785	3355.261	3B	B
A10283_3B_70	3B.1	28.259	3356.735	3B	B
A3781_3B_6B_70	3B.1	30.872	3359.348	3B	B
A3681_3B_6B_100	3B.1	31.932	3360.408	3B	B
A3570_3B_100	3B.1	33.681	3362.157	3B	B
A26921_3B_100	3B.1	35.428	3363.904	3B	B
A14197_3B_100	3B.1	36.623	3365.099	3B	B
A13796_3B_70	3B.1	37.681	3366.157	3B	B
A13457_3B_3D_70	3B.1	39.86	3368.336	3B	B
A629_unk_100	3B.1	43.369	3371.845	3B	B
A628_3B_100	3B.1	44.291	3372.767	3B	B
A17308_3B_100	3B.1	46.324	3374.8	3B	B
A16944_unk_70	3B.1	46.714	3375.19	3B	B
A20483_3B_100	3B.1	49.031	3377.507	3B	B
A12923_unk_100	3B.1	50.781	3379.257	3B	B
A19009_3B_100	3B.1	57.588	3386.064	3B	B
A16099_3B_100	3B.1	63.356	3391.832	3B	B
A14047_3B_5A_100	3B.1	65.672	3394.148	3B	B
A13560_3B_100	3B.1	67.562	3396.038	3B	B
A3822_3B_100	3B.1	69.879	3398.355	3B	B
A3926_3B_70	3B.1	70.801	3399.277	3B	B
A23633_3B_70	3B.1	75.562	3404.038	3B	B
A23997_3B_100	3B.1	76.486	3404.962	3B	B
A709_3B_100	3B.1	78.377	3406.853	3B	B
A17261_3B_100	3B.1	79.434	3407.91	3B	B
A16892_3B_70	3B.1	80.492	3408.968	3B	B
A20222_3B_70	3B.1	82.1	3410.576	3B	B
A16794_3B_70	3B.1	84.42	3412.896	3B	B
A17164_3B_100	3B.1	85.616	3414.092	3B	B
A1805_3B_100	3B.1	87.796	3416.272	3B	B
A9123_3B_100	3B.1	90.41	3418.886	3B	B
A8665_3B_70	3B.1	90.932	3419.408	3B	B
A25994_unk_100	3B.1	95.376	3423.852	3B	B
A7633_3B_100	3B.1	98.585	3427.061	3B	B
A7262_3B_70	3B.1	101.646	3430.122	3B	B
A25562_unk_70	3B.1	105.78	3434.256	3B	B
A10386_unk_100	3B.1	109.908	3438.384	3B	B
A1895_3B_100	3B.1	116.024	3444.5	3B	B
A1970_3B_6B_70	3B.1	117.917	3446.393	3B	B
A28813_unk_70	3B.1	121.126	3449.602	3B	B
A29031_3B_100	3B.1	122.457	3450.933	3B	B
A193_3B_100	3B.1	130.928	3459.404	3B	B
A202_3B_70	3B.1	136.199	3464.675	3B	B
A17355_unk_70	3B.1	142.997	3471.473	3B	B
A9898_unk_100	3B.1	152.24	3480.716	3B	B
A8467_unk_100	3B.1	156.688	3485.164	3B	B
A8044_3A_4A_70	3B.1	160.984	3489.46	3B	B
A9408_unk_70	3B.1	164.187	3492.663	3B	B
A2199_3B_70	3B.1	170.821	3499.297	3B	B
A1279_unk_70	3B.1	178.585	3507.061	3B	B
A9327_3B_70	3B.1	182.265	3510.741	3B	B
A9804_3B_100	3B.1	187.239	3515.715	3B	B
A1180_unk_100	3B.1	192.861	3521.337	3B	B
A15402_3B_100	3B.1	199.163	3527.639	3B	B
A1586_3B_100	3B.1	204.951	3533.427	3B	B
A1680_3B_70	3B.1	209.432	3537.908	3B	B
A27308_3B_100	3B.1	220.597	3549.073	3B	B
A2714_3B_100	3B.1	240.8	3569.276	3B	B
A12414_3D_70	3D.1	6.658	3625.934	3D	D
A20267_3D_100	3D.1	26.12	3645.396	3D	D
A18425_3D_100	3D.1	33.333	3652.609	3D	D
A14136_3D_100	3D.1	39.462	3658.738	3D	D
A13729_3D_70	3D.1	44.745	3664.021	3D	D
A19972_3D_70	3D.1	48.722	3667.998	3D	D
A18055_3D_70	3D.1	52.551	3671.827	3D	D
A15830_3D_70	3D.1	61.606	3680.882	3D	D
A19951_3B_3D_70	3D.1	65.42	3684.696	3D	D
A20534_3D_70	3D.1	68.324	3687.6	3D	D
A21924_3D_70	3D.1	70.791	3690.067	3D	D
A3149_3D_70	3D.1	73.702	3692.978	3D	D
A3113_3D_100	3D.1	77.392	3696.668	3D	D
A20825_3D_100	3D.1	79.858	3699.134	3D	D
A20248_3D_100	3D.1	81.467	3700.743	3D	D
A20609_3D_100	3D.1	84.223	3703.499	3D	D
A26483_3D_100	3D.1	91.438	3710.714	3D	D
A26117_3D_70	3D.1	97.231	3716.507	3D	D
A17627_3D_70	3D.2	0	3741.507	3D	D
A18010_3D_100	3D.2	5.266	3746.773	3D	D
A12733_3D_3H_100	3D.2	11.022	3752.529	3D	D
A1936_3D_100	3D.2	15.634	3757.141	3D	D
A29049_3D_100	3D.2	23.376	3764.883	3D	D
A7586_3D_100	3D.2	28.629	3770.136	3D	D
A7225_3D_70	3D.2	30.518	3772.025	3D	D
A15706_3D_70	3D.2	35.606	3777.113	3D	D
A13048_unk_100	3D.2	39.888	3781.395	3D	D
A12770_3D_100	3D.2	41.496	3783.003	3D	D
A25184_3D_100	3D.2	42.553	3784.06	3D	D
A15010_3D_100	3D.2	44.025	3785.532	3D	D
A10227_3D_100	3D.2	45.495	3787.002	3D	D
A7712_3D_70	3D.2	47.104	3788.611	3D	D
A8090_3D_100	3D.2	47.892	3789.399	3D	D
A17735_3D_100	3D.2	49.09	3790.597	3D	D
A17353_3D_70	3D.2	50.561	3792.068	3D	D
A25237_3D_70	3D.2	55.98	3797.487	3D	D
A25690_3D_100	3D.2	57.038	3798.545	3D	D
A16615_3D_100	3D.2	69.707	3811.214	3D	D
A18784_3D_100	3D.2	79.799	3821.306	3D	D
A11263_3D_70	3D.2	100.964	3842.471	3D	D
A11636_3D_100	3D.2	108.317	3849.824	3D	D
A15664_3D_70	3D.2	127.899	3869.406	3D	D
A16019_3D_100	3D.2	135.293	3876.8	3D	D
A28348_3D_100	3D.2	143.986	3885.493	3D	D
A28053_3D_70	3D.2	152.509	3894.016	3D	D
A29511_4A_100	4A.1	0	3944.016	4A	A
A18114_4A_100	4A.1	1.609	3945.625	4A	A
A29512_unk_100	4A.1	3.497	3947.513	4A	A
A29305_unk_70	4A.1	6.107	3950.123	4A	A
A29304_4A_70	4A.1	8.137	3952.153	4A	A
A17743_4A_70	4A.1	9.195	3953.211	4A	A
A2871_unk_100	4A.1	16.902	3960.918	4A	A
A4231_4A_100	4A.1	20.869	3964.885	4A	A
A10913_unk_70	4A.1	25.793	3969.809	4A	A
A190_4A_70	4A.1	31.549	3975.565	4A	A
A182_4A_100	4A.1	35.858	3979.874	4A	A
A25886_4A_100	4A.1	37.605	3981.621	4A	A
A7552_4A_70	4A.1	44.651	3988.667	4A	A
A7926_4A_100	4A.1	45.173	3989.189	4A	A
A23913_4A_100	4A.1	50.93	3994.946	4A	A
A28342_4A_100	4A.1	54.439	3998.455	4A	A
A20137_4A_100	4A.1	55.909	3999.925	4A	A
A28070_3B_4A_100	4A.1	56.832	4000.848	4A	A
A23225_unk_70	4A.1	58.581	4002.597	4A	A
A23615_unk_100	4A.1	59.638	4003.654	4A	A
A10544_4A_100	4A.1	60.426	4004.442	4A	A
A23226_unk_70	4A.1	61.081	4005.097	4A	A
A23616_unk_100	4A.1	61.34	4005.356	4A	A
A3779_4A_7A_70	4A.1	62.139	4006.155	4A	A
A25843_4A_70	4A.1	63.341	4007.357	4A	A
A26246_4A_100	4A.1	63.732	4007.748	4A	A
A3526_unk_100	4A.1	64.655	4008.671	4A	A
A17953_4A_100	4A.1	65.577	4009.593	4A	A
A13827_unk_70	4A.1	66.771	4010.787	4A	A
A14229_unk_100	4A.1	67.161	4011.177	4A	A
A27857_4A_100	4A.1	67.816	4011.832	4A	A
A20959_7A_7D_70	4A.1	68.873	4012.889	4A	A
A21264_7A_7D_100	4A.1	69.133	4013.149	4A	A
A19498_unk_70	4A.1	72.039	4016.055	4A	A
A19822_unk_100	4A.1	73.787	4017.803	4A	A
A2001_4A_70	4A.1	74.981	4018.997	4A	A
A22_4A_70	4A.1	75.904	4019.92	4A	A
A23_4A_100	4A.1	76.294	4020.31	4A	A
A29275_4A_70	4A.1	77.487	4021.503	4A	A
A29486_4A_100	4A.1	78.276	4022.292	4A	A
A24788_4A_100	4A.1	79.198	4023.214	4A	A
A12235_4A_100	4A.1	80.806	4024.822	4A	A
A11870_1A_4A_70	4A.1	81.594	4025.61	4A	A
A27823_4A_100	4A.1	82.516	4026.532	4A	A
A20043_4A_100	4A.1	83.847	4027.863	4A	A
A19740_4A_70	4A.1	84.501	4028.517	4A	A
A1124_unk_70	4A.1	85.424	4029.44	4A	A
A1044_unk_100	4A.1	85.683	4029.699	4A	A
A11870_4A_100	4A.1	86.471	4030.487	4A	A
A27514_4A_70	4A.1	88.221	4032.237	4A	A
A1641_4A_70	4A.1	90.975	4034.991	4A	A
A11882_4A_100	4A.1	94.631	4038.647	4A	A
A16050_unk_100	4A.1	103.093	4047.109	4A	A
A15697_unk_70	4A.1	106.143	4050.159	4A	A
A8111_4A_100	4A.1	110.743	4054.759	4A	A
A7725_4A_70	4A.1	114.253	4058.269	4A	A
A27809_4A_70	4A.1	117.611	4061.627	4A	A
A25160_4A_70	4A.1	122.547	4066.563	4A	A
A25620_4A_100	4A.1	127.164	4071.18	4A	A
A16965_4A_7A_70	4A.1	137.653	4081.669	4A	A
A17326_4A_7A_100	4A.1	141.011	4085.027	4A	A
A7349_unk_70	4A.1	150.655	4094.671	4A	A
A7724_unk_100	4A.1	153.558	4097.574	4A	A
A22222_4A_100	4A.1	156.019	4100.035	4A	A
A29481_4A_100	4A.1	159.677	4103.693	4A	A
A29272_4A_70	4A.1	160.465	4104.481	4A	A
A10734_unk_70	4A.1	167.804	4111.82	4A	A
A12175_2A_4A_70	4A.1	169.693	4113.709	4A	A
A1000_4A_70	4A.1	172.3	4116.316	4A	A
A932_4A_100	4A.1	174.336	4118.352	4A	A
A14908_4A_100	4A.1	175.53	4119.546	4A	A
A12535_4A_100	4A.1	175.789	4119.805	4A	A
A27795_4A_100	4A.1	176.577	4120.593	4A	A
A27489_4A_70	4A.1	178.186	4122.202	4A	A
A24033_4A_70	4A.1	182.947	4126.963	4A	A
A24597_4A_4B_100	4A.1	185.702	4129.718	4A	A
A12296_4A_100	4A.1	187.732	4131.748	4A	A
A25254_1A_4A_100	4A.1	189.48	4133.496	4A	A
A13101_4A_100	4A.1	189.87	4133.886	4A	A
A4615_4A_70	4A.1	191.064	4135.08	4A	A
A1512_4A_5D_100	4A.1	194.875	4138.891	4A	A
A3059_4A_5B_100	4A.1	198.689	4142.705	4A	A
A11335_4A_100	4A.1	199.746	4143.762	4A	A
A11702_4A_100	4A.1	201.354	4145.37	4A	A
A11329_4A_70	4A.1	202.143	4146.159	4A	A
A12321_4A_70	4A.1	203.752	4147.768	4A	A
A12683_4A_100	4A.1	203.883	4147.899	4A	A
A13603_4A_100	4A.1	205.078	4149.094	4A	A
